id,officialName,currentSiteLabel,group,source,active,decisionNeeded,logoPermission,licenseModel,officialUrl,mappedSolutionArea,note
runecast,Runecast,Runecast,compliance|security,site-only,unknown,yes,unknown,not-assessed,https://www.runecast.com/,DECISION NEEDED,"Sitede sayfasi var ama menude yok; plan, brief ve sunumda YOK"
smax,OpenText SMAX,-,itsm,plan+brief,unknown,yes,unknown,not-assessed,,3 ITSM,Brief cozum 5'te anilliyor; sitede ve sunumda YOK
foglight,Quest Foglight,-,observability,plan-only,unknown,yes,unknown,not-assessed,https://www.quest.com/foglight/,1 Observability,"KARAR GEREKCESI: Uc kaynagin hicbirinde yok - kapsamda kalip kalmayacagi karari gerekli. Site, sunum ve brief'in ucunde de YOK"
opentext-cms,OpenText CMS,-,cmdb,plan-only,unknown,yes,unknown,not-assessed,,2 Configuration Management / CMDB,"KARAR GEREKCESI: Uc kaynagin hicbirinde yok; guncel resmi urun adi da dogrulanmali. Site, sunum ve brief'in ucunde de YOK; guncel resmi ad dogrulanmali"
opentext-oo,OpenText Operations Orchestration (OO),-,automation,plan-only,unknown,yes,unknown,not-assessed,,7 Automation,"KARAR GEREKCESI: Uc kaynagin hicbirinde yok - kapsamda kalip kalmayacagi karari gerekli. Site, sunum ve brief'in ucunde de YOK"
opentext-sa,OpenText Server Automation (SA),-,automation,plan-only,unknown,yes,unknown,not-assessed,,7 Automation,"KARAR GEREKCESI: Uc kaynagin hicbirinde yok - kapsamda kalip kalmayacagi karari gerekli. Site, sunum ve brief'in ucunde de YOK"
nifi,Apache NiFi,-,data-integration,plan-only,unknown,yes,unknown,open-source,https://nifi.apache.org/,4 Data Streaming & Integration,"KARAR GEREKCESI: Uc kaynagin hicbirinde yok - kapsamda kalip kalmayacagi karari gerekli. Site, sunum ve brief'in ucunde de YOK"
airflow,Apache Airflow,-,data-orchestration,plan-only,unknown,yes,unknown,open-source,https://airflow.apache.org/,4 Data Streaming & Integration,"KARAR GEREKCESI: Uc kaynagin hicbirinde yok - kapsamda kalip kalmayacagi karari gerekli. Site, sunum ve brief'in ucunde de YOK"
elastic,Elastic,-,search|observability,plan-only,unknown,yes,unknown,not-assessed,https://www.elastic.co/,4 Data Streaming & Integration,"KARAR GEREKCESI: Uc kaynagin hicbirinde yok - kapsamda kalip kalmayacagi karari gerekli. Site, sunum ve brief'in ucunde de YOK"
awx,AWX,-,automation,plan-only,unknown,yes,unknown,open-source,https://github.com/ansible/awx,7 Automation,"KARAR GEREKCESI: Uc kaynagin hicbirinde yok - kapsamda kalip kalmayacagi karari gerekli. Site, sunum ve brief'in ucunde de YOK"
n8n,n8n,-,automation,plan-only,unknown,yes,unknown,not-assessed,https://n8n.io/,7 Automation,"KARAR GEREKCESI: Uc kaynagin hicbirinde yok - kapsamda kalip kalmayacagi karari gerekli. Site, sunum ve brief'in ucunde de YOK"
kace,Quest KACE,-,endpoint-management,plan-only,unknown,yes,unknown,not-assessed,https://www.quest.com/kace/,DECISION NEEDED,"KARAR GEREKCESI: Plan paketi KACE icin ACIK ONAY istiyor; uc kaynagin hicbirinde yok. Plan paketi KACE icin ACIK ONAY istiyor. Site, sunum ve brief'in ucunde de YOK"
cyclops,CyclOps,-,aiops|duosis-product,brief-only,unknown,yes,unknown,duosis-own-product,,6 AIOps & Event Lifecycle,"KARAR GEREKCESI: Urun kanit durumu netlesmeden kapsam ve iddia belirlenemez (bkz. C12). DUOSIS KENDI URUNU. Kanit durumu: brief'te 9 kez geciyor (planlama belgesi), kurumsal sunumda 0, canli sitede 0. Brief urun yetenegi kaniti DEGILDIR"
