legacy_url,http_status,lastmod,category,title,has_meta_description,proposed_target_tr,mapping_confidence,redirect_type,decision_owner,notes
https://duosis.com/devops/,200,2024-08-05,expertise,DEVOPS - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/dis-kaynak-yonetimi/,200,2024-08-05,service,Dış Kaynak Yönetimi - Duosis,yes,/hizmetler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/egitim/,200,2024-08-05,service,Eğitim - Duosis,yes,/hizmetler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/grafana/,200,2024-07-29,partner/technology,Grafana - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/hakkimizda/,200,2024-07-31,core,Hakkımızda - Duosis,NO,/hakkimizda/,high,301,Duosis içerik/SEO sahibi,
https://duosis.com/hastane-izleme-ve-yonetim-cozumleri/,200,2024-08-05,solution,Hastane İzleme ve Yönetim Çözümleri - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/hybrid-cloud-management/,200,2024-08-05,solution,Hybrid Cloud Management - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/iletisim/,200,2024-06-23,core,İletişim - Duosis,yes,/iletisim/,high,301,Duosis içerik/SEO sahibi,
https://duosis.com/instana/,200,2024-06-23,partner/technology,Instana - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/iot-monitoring/,200,2024-08-05,solution,IOT Monitoring - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/is-ilanlari/,200,2024-08-05,careers,İş İlanları - Duosis,NO,DECISION NEEDED (yeni rota haritasinda kariyer rotasi yok),none,301,Duosis içerik/SEO sahibi,
https://duosis.com/itom/,200,2024-08-05,expertise,ITOM - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/itsm/,200,2024-08-05,expertise,ITSM - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/kisisel-verilerin-korunmasi-gizliligi-ve-imha-edilmesi-politikasi/,200,2024-08-05,policy,Kişisel Verilerin Korunması Gizliliği ve İmha Edilmesi Politikası - Duosis,NO,DECISION NEEDED,low,301,Duosis içerik/SEO sahibi,
https://duosis.com/kisisel-verilerin-korunmasi-politikasi/,200,2024-08-05,policy,Kişisel Verilerin Korunması Politikası - Duosis,NO,/kvkk/,high,301,Duosis içerik/SEO sahibi,
https://duosis.com/konfigurasyon-ve-varlik-yonetimi/,200,2024-08-05,expertise,Konfigürasyon ve Varlık Yönetimi - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/kron-teknoloji/,200,2025-01-08,partner/technology,Kron Teknoloji - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/kvkk-aydinlatma-beyani/,200,2024-08-05,policy,KVKK Aydınlatma Beyanı - Duosis,NO,/kvkk/,high,301,Duosis içerik/SEO sahibi,
https://duosis.com/kvkk-aydinlatma-metni/,200,2024-08-05,policy,KVKK Aydınlatma Metni - Duosis,NO,/kvkk/,high,301,Duosis içerik/SEO sahibi,
https://duosis.com/kvkk-basvuru/,200,2024-08-07,policy,KVKK Başvuru - Duosis,yes,/kvkk/,high,301,Duosis içerik/SEO sahibi,
https://duosis.com/kvkk-cerez-politikasi/,200,2024-08-05,policy,KVKK Çerez Politikası - Duosis,NO,/cerez-politikasi/,high,301,Duosis içerik/SEO sahibi,
https://duosis.com/online-bankacilik-ve-cozumleri/,200,2024-08-05,solution,Online Bankacılık ve Çözümleri - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/opentext/,200,2024-07-29,partner/technology,Opentext - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/pandora-fms/,200,2024-06-23,partner/technology,Pandora FMS - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/postgre-migration/,200,2024-08-05,solution,Postgre Migration - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/postgre/,200,2024-07-22,partner/technology,Postgre SQL - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/predictive-analytics/,200,2024-08-05,solution,Predictive Analytics - Duosis,NO,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/quest/,200,2024-06-23,partner/technology,Quest - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/raporlama-ve-gorsellestirme/,200,2024-08-05,expertise,Raporlama ve Görselleştirme - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/runecast/,200,2024-07-20,partner/technology,Runecast - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/stor2rrd/,200,2024-06-23,partner/technology,Stor2RRD - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/universite-altyapi-izleme-ve-yonetim-cozumleri/,200,2024-08-05,solution,Üniversite Altyapı İzleme ve Yönetim Çözümleri - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/veritabani-yonetimi/,200,2024-08-05,expertise,Veritabanı Yönetimi - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/vertica/,200,2024-07-29,partner/technology,Vertica - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/yazilim-gelistirme/,200,2024-08-05,expertise,Yazılım Geliştirme - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/yonetilen-hizmetler/,200,2024-08-05,service,Yönetilen Hizmetler - Duosis,yes,/hizmetler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/zabbix/,200,2024-06-23,partner/technology,Zabbix - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
